2018-05-14:03:15,05/14/2018,03:15:00,17.71,7.11,6.6,69.47,crbuoy
2018-05-14:03:30,05/14/2018,03:30:00,17.71,7.11,6.64,69.91,crbuoy
2018-05-14:03:45,05/14/2018,03:45:00,17.7,7.12,6.62,69.68,crbuoy
2018-05-14:04:00,05/14/2018,04:00:00,17.71,7.11,6.61,69.59,crbuoy
2018-05-14:04:15,05/14/2018,04:15:00,17.69,7.12,6.63,69.78,crbuoy
2018-05-14:04:30,05/14/2018,04:30:00,17.69,7.11,6.62,69.68,crbuoy
2018-05-14:04:45,05/14/2018,04:45:00,17.7,7.11,6.59,69.4,crbuoy
2018-05-14:05:00,05/14/2018,05:00:00,17.69,7.11,6.58,69.26,crbuoy
2018-05-14:05:15,05/14/2018,05:15:00,17.69,7.11,6.59,69.38,crbuoy
2018-05-14:05:30,05/14/2018,05:30:00,17.68,7.11,6.58,69.21,crbuoy
2018-05-14:05:45,05/14/2018,05:45:00,17.66,7.11,6.54,68.8,crbuoy
2018-05-14:06:00,05/14/2018,06:00:00,17.65,7.11,6.54,68.76,crbuoy
2018-05-14:06:15,05/14/2018,06:15:00,17.64,7.11,6.57,69.02,crbuoy
2018-05-14:06:30,05/14/2018,06:30:00,17.63,7.11,6.58,69.12,crbuoy
2018-05-14:06:45,05/14/2018,06:45:00,17.62,7.11,6.59,69.21,crbuoy
2018-05-14:07:00,05/14/2018,07:00:00,17.63,7.11,6.58,69.19,crbuoy
2018-05-14:07:15,05/14/2018,07:15:00,17.62,7.11,6.6,69.3,crbuoy
2018-05-14:07:30,05/14/2018,07:30:00,17.61,7.11,6.61,69.4,crbuoy
2018-05-14:07:45,05/14/2018,07:45:00,17.62,7.12,6.59,69.22,crbuoy
2018-05-14:08:00,05/14/2018,08:00:00,17.65,7.12,6.63,69.69,crbuoy
2018-05-14:08:15,05/14/2018,08:15:00,17.68,7.12,6.61,69.49,crbuoy
2018-05-14:08:30,05/14/2018,08:30:00,17.67,7.11,6.58,69.23,crbuoy
2018-05-14:08:45,05/14/2018,08:45:00,17.68,7.12,6.59,69.35,crbuoy
2018-05-14:09:00,05/14/2018,09:00:00,17.71,7.12,6.58,69.23,crbuoy
2018-05-14:09:15,05/14/2018,09:15:00,17.74,7.12,6.59,69.35,crbuoy
2018-05-14:09:30,05/14/2018,09:30:00,17.75,7.12,6.6,69.49,crbuoy
2018-05-14:09:45,05/14/2018,09:45:00,17.81,7.12,6.65,70.09,crbuoy
2018-05-14:10:00,05/14/2018,10:00:00,17.86,7.12,6.65,70.23,crbuoy
2018-05-14:10:15,05/14/2018,10:15:00,17.93,7.13,6.69,70.73,crbuoy
2018-05-14:10:30,05/14/2018,10:30:00,17.95,7.14,6.74,71.26,crbuoy
2018-05-14:10:45,05/14/2018,10:45:00,17.97,7.15,6.77,71.64,crbuoy
2018-05-14:11:00,05/14/2018,11:00:00,18,7.15,6.77,71.64,crbuoy
2018-05-14:11:15,05/14/2018,11:15:00,18.02,7.14,6.78,71.84,crbuoy
